sample	basin	creek	year	reads	watershed	subbasin	creek_year	sampnum	long	lat	in_will	will_name	will_ho	will_pi	will_fis	ws_will	ts_will	PVA_Extinction	PVA_Ext_L95	PVA_Ext_U95	PVA_Abundance_50	PVA_Abundance_25	PVA_Abund_Year	in_basin
22SFI002	Humboldt/Little	SF_Indian	2022	5420521	Humboldt	Little	SF_Indian_2022	2023	-117.54041	41.61184	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-625	Willow_Whitehorse	Willow	2020	7724014	Willow_Whitehorse		Willow_2020	2024	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y170010TKR	Tahoe	Up_Truckee	2017	2307021	Tahoe		Up_Truckee_2017	2025	-120.029072	38.863631	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-753	Willow_Whitehorse	Willow	2020	3646518	Willow_Whitehorse		Willow_2020	2026	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
BDSK_003	Walker	By-Day	2015	8013011	Walker		By-Day_2015	2027	-119.3509716	38.26878397	YES	By-Day	0.000000865	0.000000695	-0.080643106	0.0000383	0.0000241	19	17.6	20.9	2690	1624	2009	yes
LittleAlv3	Alvord_Lake_OOB	Little_Alvord	2021	756092	Willow_Whitehorse		Little_Alvord_2021	2028	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
3103-837	Willow_Whitehorse	Whitehorse	2020	487233	Willow_Whitehorse		Whitehorse_2020	2029	-118.193703	42.273727	YES	Whitehorse	0.000000484	0.000000381	-0.157358941	0.0000151	0.0000126	8.1	7.3	9.4	21251	10485	2011	yes
Y160063CAR	Independence	Heenan_Lake	2010	2209822	Tahoe		Heenan_Lake_2010	2030	-119.637348	38.653153	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
YUB_MAC_2016_077	Yuba_R_OOB	Macklin	2016	577267	Tahoe		Macklin_2016	2031	#N/A	#N/A	YES	Macklin	0.000000765	0.000000649	-0.099742321	0.0000213	0.0000227	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
QUI_WAC_1997_013	Quinn	Washburn	1997	260829	Quinn_Reese		Washburn_1997	2032	-118.0489225	41.86464695	YES	Washburn	0.000000581	0.000000505	-0.061799336	0.0000241	0.0000177	14.8	12.8	15.9	843	157	1997	yes
Cotton9	Alvord_Lake_OOB	Cottonwood_AVL	2021	959054	Willow_Whitehorse		Cottonwood_AVL_2021	2033	#N/A	#N/A	YES	Cottonwood	0.0000003	0.00000022	-0.134278393	0.0000106	0.00000758	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
MAR_TCR_2002_022	Humboldt/Upper	T	2002	868085	Humboldt	Upper	T_2002	2034	-115.3040545	41.63598922	YES	T	0.000000682	0.000000588	-0.117693616	0.0000191	0.000019	0.1	0.1	0.2	4029	1960	2002	yes
Y200134WKR	Walker	Silver	2020	1643698	Walker		Silver_2020	2035	-119.5749218	38.38654264	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
20LCC09	Humboldt/Little	Long_Canyon	2020	4469600	Humboldt	Little	Long_Canyon_2020	2036	-117.4625913	41.8307616	YES	Long Canyon	0.000000945	0.00000114	0.120982281	0.000049	0.0000411	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
REE_MHK_2000_015	Reese	Mohawk	2000	1291518	Quinn_Reese		Mohawk_2000	2037	-117.32925	38.98392922	YES	Mohawk	0.00000036	0.000000284	-0.107180282	0.0000126	0.0000097	0.2	0	0.4	1553	1024	2000	yes
3103-458	Willow_Whitehorse	Willow	2020	4061891	Willow_Whitehorse		Willow_2020	2038	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y170049CAR	Carson	Murray	2017	3832480	Carson		Murray_2017	2039	-119.7140794	38.48469886	YES	Murray Canyon	0.000000745	0.00000057	-0.150383004	0.00002	0.0000189	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
YUB_MAC_2016_058	Yuba_R_OOB	Macklin	2016	697736	Tahoe		Macklin_2016	2040	#N/A	#N/A	YES	Macklin	0.000000765	0.000000649	-0.099742321	0.0000213	0.0000227	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
